raw_url,context,raw_question,raw_answer,annotated_question,is_impossible
steps,"그런 증상이있는 것처럼 보이는 사람을 알고 있습니까?이 웹 사이트는 전문적인 조언을 대신 할 수는 없지만 증상이있는 사람들은 친구 및 가족과 대화하고 정신 건강 전문가의 조언을 구할 것을 권장합니다.정신 건강 상태가 빨리 식별되고 치료 될수록 회복의 길을 빨리 얻을 수 있습니다. 문제가있는 사람을 알고 있다면 문제가 스스로 해결 될 것이라고 가정하지 마십시오.그들에게 당신이 그들에 관심을 갖고, 치유에 도움이되는 치료 옵션이 있음을 알려주십시오.친구 나 가족이 정신 건강 상태의 증상을 겪고 있다고 생각되면 정신 건강 전문가 또는 카운슬러와 상담하십시오.영향을받는 사랑하는 사람이 당신이 그들을지지한다는 것을 알고 있다면, 그들은 도움을 구할 가능성이 더 높습니다.",그런 증상이있는 것처럼 보이는 사람을 알고 있습니까?,"이 웹 사이트는 전문적인 조언을 대신 할 수는 없지만 증상이있는 사람들은 친구 및 가족과 대화하고 정신 건강 전문가의 조언을 구할 것을 권장합니다.정신 건강 상태가 빨리 식별되고 치료 될수록 회복의 길을 빨리 얻을 수 있습니다. 문제가있는 사람을 알고 있다면 문제가 스스로 해결 될 것이라고 가정하지 마십시오.그들에게 당신이 그들에 관심을 갖고, 치유에 도움이되는 치료 옵션이 있음을 알려주십시오.친구 나 가족이 정신 건강 상태의 증상을 겪고 있다고 생각되면 정신 건강 전문가 또는 카운슬러와 상담하십시오.영향을받는 사랑하는 사람이 당신이 그들을지지한다는 것을 알고 있다면, 그들은 도움을 구할 가능성이 더 높습니다.",그런 증상이있는 것처럼 보이는 사람을 알고 있습니까?,O
steps,"이 웹 사이트가 전문적인 조언을 대신 할 수는 없지만 증상을 입히는 단계는 무엇입니까? 우리는 증상이있는 사람들이 친구 및 가족과 대화하고 정신 건강 전문가의 조언을 구하는 것을 권장합니다.정신 건강 상태가 빨리 식별되고 치료 될수록 회복의 길을 빨리 얻을 수 있습니다. 문제가있는 사람을 알고 있다면 문제가 스스로 해결 될 것이라고 가정하지 마십시오.그들에게 당신이 그들에 관심을 갖고, 치유에 도움이되는 치료 옵션이 있음을 알려주십시오.친구 나 가족이 정신 건강 상태의 증상을 겪고 있다고 생각되면 정신 건강 전문가 또는 카운슬러와 상담하십시오.영향을받는 사랑하는 사람이 당신이 그들을지지한다는 것을 알고 있다면, 그들은 도움을 구할 가능성이 더 높습니다.",증상의 경우 따라야 할 단계는 무엇입니까?,"이 웹 사이트는 전문적인 조언을 대신 할 수는 없지만 증상이있는 사람들은 친구 및 가족과 대화하고 정신 건강 전문가의 조언을 구할 것을 권장합니다.정신 건강 상태가 빨리 식별되고 치료 될수록 회복의 길을 빨리 얻을 수 있습니다. 문제가있는 사람을 알고 있다면 문제가 스스로 해결 될 것이라고 가정하지 마십시오.그들에게 당신이 그들에 관심을 갖고, 치유에 도움이되는 치료 옵션이 있음을 알려주십시오.친구 나 가족이 정신 건강 상태의 증상을 겪고 있다고 생각되면 정신 건강 전문가 또는 카운슬러와 상담하십시오.영향을받는 사랑하는 사람이 당신이 그들을지지한다는 것을 알고 있다면, 그들은 도움을 구할 가능성이 더 높습니다.",증상의 경우 따라야 할 단계는 무엇입니까?,O
find_help,나 자신을 위해 정신 건강 전문가를 찾는 방법 당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾는 데는 연구가 필요할 수 있습니다.해당 지역의 공급자를 검색하여 시작하십시오.,나 자신을 위해 정신 건강 전문가를 찾는 방법,당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾는 데는 연구가 필요할 수 있습니다.해당 지역의 공급자를 검색하여 시작하십시오.,나 자신을 위해 정신 건강 전문가를 찾는 방법,O
find_help,정신 건강 전문가를 찾는 방법?당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾는 데는 연구가 필요할 수 있습니다.해당 지역의 공급자를 검색하여 시작하십시오.,정신 건강 전문가를 찾는 방법?,당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾는 데는 연구가 필요할 수 있습니다.해당 지역의 공급자를 검색하여 시작하십시오.,정신 건강 전문가를 찾는 방법?,O
treatement_options,어떤 치료 옵션을 사용할 수 있습니까?신체 질환에 대한 다양한 유형의 약물이있는 것처럼 정신 질환이있는 개인에게는 다양한 치료 옵션을 사용할 수 있습니다.치료는 사람들에게는 다르게 작동합니다.귀하 또는 귀하의 자녀에게 가장 적합한 것을 찾는 것이 중요합니다.,어떤 치료 옵션을 사용할 수 있습니까?,신체 질환에 대한 다양한 유형의 약물이있는 것처럼 정신 질환이있는 개인에게는 다양한 치료 옵션을 사용할 수 있습니다.치료는 사람들에게는 다르게 작동합니다.귀하 또는 귀하의 자녀에게 가장 적합한 것을 찾는 것이 중요합니다.,어떤 치료 옵션을 사용할 수 있습니까?,O
treatement_options,어떻게 회복 할 수 있습니까?신체 질환에 대한 다양한 유형의 약물이있는 것처럼 정신 질환이있는 개인에게는 다양한 치료 옵션을 사용할 수 있습니다.치료는 사람들에게는 다르게 작동합니다.귀하 또는 귀하의 자녀에게 가장 적합한 것을 찾는 것이 중요합니다.,어떻게 회복 할 수 있습니까?,신체 질환에 대한 다양한 유형의 약물이있는 것처럼 정신 질환이있는 개인에게는 다양한 치료 옵션을 사용할 수 있습니다.치료는 사람들에게는 다르게 작동합니다.귀하 또는 귀하의 자녀에게 가장 적합한 것을 찾는 것이 중요합니다.,어떻게 회복 할 수 있습니까?,O
treatment_tips,치료에 참여하는 방법?치료 시작은 개인과 가족에게 큰 단계이므로 매우 압도적 일 수 있습니다.,치료에 참여하는 방법?,치료 시작은 개인과 가족에게 큰 단계이므로 매우 압도적 일 수 있습니다.,치료에 참여하는 방법?,O
treatment_tips,치료를 시작하면 무엇을 명심해야합니까?치료 시작은 개인과 가족에게 큰 단계이므로 매우 압도적 일 수 있습니다.,치료를 시작하면 무엇을 명심해야합니까?,치료 시작은 개인과 가족에게 큰 단계이므로 매우 압도적 일 수 있습니다.,치료를 시작하면 무엇을 명심해야합니까?,O
professional_types,"정신 건강 전문가의 차이점은 무엇입니까?정신 건강 전문가에는 여러 가지 유형이 있습니다.다양한 공급자와 서비스가 혼란 스러울 수 있습니다.각각은 다양한 수준의 교육, 훈련을 가지고 있으며 전문 지식이 다를 수 있습니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.",정신 건강 전문가의 차이점은 무엇입니까?,"정신 건강 전문가에는 여러 가지 유형이 있습니다.다양한 공급자와 서비스가 혼란 스러울 수 있습니다.각각은 다양한 수준의 교육, 훈련을 가지고 있으며 전문 지식이 다를 수 있습니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.",정신 건강 전문가의 차이점은 무엇입니까?,O
professional_types,"정신 건강 전문가의 다른 유형은 무엇입니까?정신 건강 전문가에는 여러 가지 유형이 있습니다.다양한 공급자와 서비스가 혼란 스러울 수 있습니다.각각은 다양한 수준의 교육, 훈련을 가지고 있으며 전문 지식이 다를 수 있습니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.",정신 건강 전문가의 다른 유형은 무엇입니까?,"정신 건강 전문가에는 여러 가지 유형이 있습니다.다양한 공급자와 서비스가 혼란 스러울 수 있습니다.각각은 다양한 수준의 교육, 훈련을 가지고 있으며 전문 지식이 다를 수 있습니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.",정신 건강 전문가의 다른 유형은 무엇입니까?,O
right_professional,정신 건강 전문가를 어떻게 직접 찾을 수 있습니까?당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.,정신 건강 전문가를 어떻게 직접 찾을 수 있습니까?,당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.,정신 건강 전문가를 어떻게 직접 찾을 수 있습니까?,O
right_professional,올바른 정신 건강 전문가를 찾는 방법?당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.,올바른 정신 건강 전문가를 찾는 방법?,당신이나 당신의 자녀가 함께 일하고있는 전문가와 편안하다고 느끼는 것은 치료의 성공에 중요합니다.귀하의 요구에 가장 적합한 전문가를 찾으려면 약간의 연구가 필요할 수 있습니다.,올바른 정신 건강 전문가를 찾는 방법?,O
